DateTime,AnimalID,System,PositionID
2023-04-24T10:24:52Z,OR428,sys.1,8
2023-04-24T10:24:52Z,OR414,sys.3,3
2023-04-24T10:24:52Z,OR434,sys.5,3
2023-04-24T10:24:52Z,OR420,sys.2,3
2023-04-24T10:24:52Z,OR426,sys.5,3
2023-04-24T10:24:52Z,OR432,sys.1,3
2023-04-24T10:24:52Z,OR430,sys.5,8
2023-04-24T10:24:52Z,OR415,sys.3,3
2023-04-24T10:24:52Z,OR415,sys.3,3
2023-04-24T10:24:52Z,OR433,sys.4,3
2023-04-24T10:24:52Z,1547,sys.5,3
2023-04-24T10:24:52Z,OR413,sys.3,3
2023-04-24T10:24:52Z,1545,sys.2,3
2023-04-24T10:24:52Z,OR424,sys.1,3
2023-04-24T10:24:52Z,OR419,sys.1,8
2023-04-24T10:24:52Z,OR416,sys.3,3
2023-04-24T10:24:53Z,OR414,sys.3,7
2023-04-24T10:24:53Z,OR436,sys.2,4
2023-04-24T10:24:54Z,OR428,sys.1,3
2023-04-24T10:24:54Z,OR425,sys.2,3
2023-04-24T10:24:55Z,OR419,sys.1,7
2023-04-24T10:24:58Z,OR430,sys.5,7
2023-04-24T10:24:58Z,OR429,sys.4,3
2023-04-24T10:25:00Z,OR432,sys.1,3
2023-04-24T10:25:00Z,OR416,sys.3,4
2023-04-24T10:25:00Z,1546,sys.4,3
2023-04-24T10:25:02Z,OR413,sys.3,7
2023-04-24T10:25:03Z,OR424,sys.1,3
2023-04-24T10:25:06Z,OR436,sys.2,7
2023-04-24T10:25:07Z,OR419,sys.1,4
2023-04-24T10:25:08Z,OR414,sys.3,3
2023-04-24T10:25:08Z,OR416,sys.3,7
2023-04-24T10:25:11Z,OR426,sys.5,3
2023-04-24T10:25:12Z,OR419,sys.1,3
2023-04-24T10:25:16Z,OR415,sys.3,4
2023-04-24T10:25:20Z,1546,sys.4,7
2023-04-24T10:25:24Z,OR434,sys.5,3
2023-04-24T10:25:27Z,OR428,sys.1,3
2023-04-24T10:25:27Z,OR424,sys.1,7
2023-04-24T10:25:28Z,OR426,sys.5,3
2023-04-24T10:25:30Z,1547,sys.5,7
2023-04-24T10:25:32Z,OR415,sys.3,3
2023-04-24T10:25:34Z,1547,sys.5,3
2023-04-24T10:25:37Z,OR413,sys.3,3
2023-04-24T10:25:39Z,OR426,sys.5,7
2023-04-24T10:25:41Z,1547,sys.5,3
2023-04-24T10:25:49Z,OR413,sys.3,7
2023-04-24T10:25:50Z,OR415,sys.3,8
2023-04-24T10:25:55Z,OR413,sys.3,7
2023-04-24T10:25:57Z,1546,sys.4,3
2023-04-24T10:25:59Z,OR414,sys.3,7
2023-04-24T10:25:59Z,OR415,sys.3,7
2023-04-24T10:26:09Z,OR415,sys.3,4
2023-04-24T10:26:12Z,OR414,sys.3,3
2023-04-24T10:26:12Z,OR425,sys.2,3
2023-04-24T10:26:13Z,OR432,sys.1,7
