DateTime,AnimalID,System,PositionID
2023-04-24T10:24:52Z,OR428,sys.1,8
2023-04-24T10:24:52Z,OR432,sys.1,3
2023-04-24T10:24:52Z,OR424,sys.1,3
2023-04-24T10:24:52Z,OR419,sys.1,8
2023-04-24T10:24:54Z,OR428,sys.1,3
2023-04-24T10:24:55Z,OR419,sys.1,7
2023-04-24T10:25:00Z,OR432,sys.1,3
2023-04-24T10:25:03Z,OR424,sys.1,3
2023-04-24T10:25:07Z,OR419,sys.1,4
2023-04-24T10:25:12Z,OR419,sys.1,3
2023-04-24T10:25:27Z,OR428,sys.1,3
2023-04-24T10:25:27Z,OR424,sys.1,7
2023-04-24T10:26:13Z,OR432,sys.1,7
2023-04-24T10:26:30Z,OR428,sys.1,7
2023-04-24T10:26:50Z,OR424,sys.1,3
2023-04-24T10:27:05Z,OR428,sys.1,7
2023-04-24T10:27:28Z,OR432,sys.1,7
2023-04-24T10:27:28Z,OR419,sys.1,4
2023-04-24T10:27:31Z,OR428,sys.1,3
2023-04-24T10:27:32Z,OR419,sys.1,7
2023-04-24T10:27:34Z,OR432,sys.1,3
2023-04-24T10:27:38Z,OR419,sys.1,4
2023-04-24T10:27:46Z,OR419,sys.1,7
2023-04-24T10:27:49Z,OR432,sys.1,8
2023-04-24T10:27:53Z,OR432,sys.1,3
2023-04-24T10:28:01Z,OR424,sys.1,7
2023-04-24T10:28:05Z,OR419,sys.1,3
2023-04-24T10:28:08Z,OR424,sys.1,7
2023-04-24T10:28:14Z,OR428,sys.1,3
2023-04-24T10:28:18Z,OR428,sys.1,7
2023-04-24T10:28:23Z,OR419,sys.1,7
2023-04-24T10:28:26Z,OR432,sys.1,8
2023-04-24T10:28:26Z,OR419,sys.1,7
2023-04-24T10:28:27Z,OR432,sys.1,7
2023-04-24T10:28:35Z,OR424,sys.1,7
2023-04-24T10:28:40Z,OR432,sys.1,8
2023-04-24T10:28:46Z,OR432,sys.1,3
2023-04-24T10:28:52Z,OR424,sys.1,7
2023-04-24T10:28:54Z,OR428,sys.1,4
2023-04-24T10:29:01Z,OR428,sys.1,3
2023-04-24T10:29:01Z,OR432,sys.1,4
2023-04-24T10:29:03Z,OR419,sys.1,7
2023-04-24T10:29:21Z,OR424,sys.1,7
2023-04-24T10:29:22Z,OR428,sys.1,4
2023-04-24T10:29:29Z,OR419,sys.1,3
